Inputs,Tool Outputs
"Create a calendar event titled \""Dinner Party\"" for next Sunday at 7:00 PM at \""Rosewood Restaurant\"" and invite Sarah, John, and Emma.","{'get_email_address': ['Emma'], 'create_calendar_event': ['Dinner Party', '2020-05-24 19:00:00', '2020-05-24 21:00:00', 'Rosewood Restaurant', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please summarize the content of the \""ResearchPaper.pdf\"" for my presentation next week.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Research Paper Summary', '$2', ''], 'join': []}"
"Create a reminder for the performance itinerary review by next Monday at 4:00 PM with high priority and then reply to Sarah and Kate's email regarding the performance details with the attached document \""DebateDetails.docx\"". Finally, create a new note titled \""Debate Notes\"" with the discussion points for the upcoming performance.","{'create_reminder': ['Performance Itinerary Review', '2024-04-22 16:00:00', '', '', 1, False], 'get_email_address': ['Kate'], 'open_and_get_file_path': ['DebateDetails.docx'], 'create_note': ['Debate Notes', 'Discussion points for the upcoming performance.', ''], 'reply_to_email': [['$2', '$3'], 'Here are the performance details as requested.', ['$4']], 'join': []}"
"Create a note titled \""Grocery List\"" with items to buy, then send a reminder to pick up the groceries tomorrow and an SMS reminder to your spouse about the errand.","{'create_note': ['Grocery List', 'Items to buy: Milk, Bread, Eggs, Cheese, Apples, Oranges, Chicken, Rice, Pasta', ''], 'create_reminder': ['Pick up groceries', '2024-01-25 00:00:00', 'Remember to pick up the groceries.', '', 0, True], 'get_phone_number': ['Spouse'], 'send_sms': [['$3'], 'Hi love, just a reminder to pick up the groceries tomorrow. The list is in the notes app.'], 'join': []}"
"Summarize the \""Article.pdf\"" and compose a new email to John Doe with the summary attached, regarding the upcoming team match at \""Conference Room 2\"" next week.","{'open_and_get_file_path': ['Article.pdf'], 'summarize_pdf': ['$1'], 'get_email_address': ['John Doe'], 'compose_new_email': [['$3'], [], 'Summary of Article for Upcoming Team Match', 'Attached is the summary of the article relevant to our upcoming team match at Conference Room 2 next week.', ['$2']], 'join': []}"
"Summarize the \""Quarterly Report.pdf\"", then append the summary to the \""Finance Tournament Notes\"" in the \""Quarterly Reports\"" folder. Afterwards, create a calendar event titled \""Finance Tournament\"" on Thursday from 2:00 PM to 3:00 PM at the \""Boardroom\"" with John, Sarah, and Emma as invitees.","{'open_and_get_file_path': ['Quarterly Report.pdf'], 'summarize_pdf': ['$1'], 'append_note_content': ['Finance Tournament Notes', '$2', 'Quarterly Reports'], 'get_email_address': ['Emma'], 'create_calendar_event': ['Finance Tournament', '2024-05-30 14:00:00', '2024-05-30 15:00:00', 'Boardroom', ['$4', '$5', '$6'], '', None], 'join': []}"
"Create a reminder to review \""Marketing Strategy\"" by Friday at 3:00 PM. After that, open the \""QuarterlyReport.pdf\"" and provide a summary of the content.","{'create_reminder': ['Review Marketing Strategy', '2024-04-06 15:00:00', '', '', 0, False], 'open_and_get_file_path': ['QuarterlyReport.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
"Open Apple Maps to get directions to \""Golden Gate Bridge\"".","{'maps_show_directions': ['', 'Golden Gate Bridge', 'd'], 'join': []}"
"Open Apple Maps and locate \""Mount Sinai, New York\"" and then summarize the content of the \""TourismGuide.pdf\"" document.","{'maps_open_location': ['Mount Sinai, New York'], 'open_and_get_file_path': ['TourismGuide.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
Show me walking directions from home to the nearest park.,"{'maps_show_directions': ['', 'nearest park', 'w'], 'join': []}"
"Summarize the document \""Financial_Results.pdf\"" that you just opened.","{'open_and_get_file_path': ['Financial_Results.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Create a reminder to \""Buy Groceries\"" due tomorrow, reply to the email from Sarah regarding the festival details with notes attached, and create a calendar event for the team festival next week. Once done, open the location of the festival in Apple Maps to plan the route.","{'create_reminder': ['Buy Groceries', '2024-02-09 23:59:59', '', '', 0, True], 'open_and_get_file_path': ['festival_notes'], 'reply_to_email': [[], 'Attaching the notes for the festival details as discussed.', ['$2']], 'create_calendar_event': ['Team Festival', '2024-02-15 00:00:00', '2024-02-15 23:59:59', '', [], '', None], 'maps_open_location': ['festival location'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift\"" due next Friday, open the file \""ShoppingList.pdf\"", check the location of \""The Mall\"" on Apple Maps, and schedule a shopping trip at 2:00 PM with Emily and Max as invitees.","{'create_reminder': ['Buy Birthday Gift', '2024-07-20', '', '', 0, True], 'open_and_get_file_path': ['ShoppingList.pdf'], 'maps_open_location': ['The Mall'], 'get_email_address': ['Max'], 'create_calendar_event': ['Shopping Trip', '2024-07-20 14:00:00', '2024-07-20 15:00:00', 'The Mall', ['$4', '$5'], '', None], 'summarize_pdf': ['$2'], 'join': []}"
"Forward the email containing the gathering details to John and Sarah. Create a calendar event titled \""Team Festival\"" for next Monday from 2:00 PM to 3:30 PM at \""Conference Room\"" and ensure to append these details to the note \""Team Festivals\"" in the \""Work\"" folder.","{'get_email_address': ['Sarah'], 'forward_email': [['$1', '$2'], [], '', []], 'create_calendar_event': ['Team Festival', '2023-02-06 14:00:00', '2023-02-06 15:30:00', 'Conference Room', ['$1', '$2'], '', None], 'append_note_content': ['Team Festivals', 'Team Festival: Scheduled for next Monday from 2:00 PM to 3:30 PM at Conference Room.', 'Work'], 'join': []}"
"Forward the email to Alice, Bob, and Charlie with the file \""ProjectUpdates.pdf\"" attached.","{'get_email_address': ['Charlie'], 'open_and_get_file_path': ['ProjectUpdates.pdf'], 'forward_email': [['$1', '$2', '$3'], [], '', ['$4']], 'join': []}"
Send a reminder about the study session tomorrow to 555-123-4567 and 555-987-6543.,"{'send_sms': [['555-123-4567', '555-987-6543'], ""Reminder: Don't forget about our study session scheduled for tomorrow.""], 'join': []}"
"Compose a new email to Alex and Mia with the subject \""Presentation Tomorrow\"" and attach the outline for tomorrow's performance. Include the location of the performance using the context parameter to share the performance venue through Apple Maps.","{'get_email_address': ['Mia'], 'open_and_get_file_path': [""outline for tomorrow's performance""], 'maps_open_location': ['performance venue'], 'compose_new_email': [['$1', '$2'], [], 'Presentation Tomorrow', ""Please find the outline for tomorrow's performance attached. Also, here is the location for the performance venue: $4"", ['$3']], 'join': []}"
Set a reminder to revise for the exam on Monday at 8:00 PM with high priority.,"{'create_reminder': ['Revise for Exam', '2024-04-02 20:00:00', '', '', 1, False], 'join': []}"
"Create a reminder to buy groceries tomorrow at 10:00 AM. Compose an email to John with the subject \""Match Details\"" and attach the schedule document. Show directions from your current location to the office for walking.","{'create_reminder': ['Buy groceries', '2025-07-22 10:00:00', '', '', 0, False], 'get_email_address': ['John'], 'open_and_get_file_path': ['schedule document'], 'maps_show_directions': ['', 'the office', 'w'], 'compose_new_email': [['$2'], [], 'Match Details', '', ['$3']], 'join': []}"
"Send an email to John.Doe@email.com and Jane.Smith@gmail.com with the subject \""Performance Schedule\"" and attach the file \""PerformanceNotes.pdf\"". Add the zoom link for the game in the context of the email. Additionally, open the note titled \""Presentation Ideas\"" in the \""Business\"" folder.","{'open_and_get_file_path': ['PerformanceNotes.pdf'], 'get_zoom_meeting_link': ['Game Meeting', '2023-09-14 15:00:00', 60, ['John.Doe@email.com', 'Jane.Smith@gmail.com']], 'compose_new_email': [['John.Doe@email.com', 'Jane.Smith@gmail.com'], [], 'Performance Schedule', '$2', ['$1']], 'open_note': ['Presentation Ideas', 'Business'], 'join': []}"
"Create a calendar event titled \""Team Campaign\"" next Monday at 10:00 AM in the office, inviting Emily, John, and Sarah; open the note \""Campaign Calendar\"" in the \""Work\"" folder to gather information, then summarize the \""ProjectPresentation.pdf\"" conclusions and map directions from \""Home\"" to \""Office\"" for driving.","{'get_email_address': ['Sarah'], 'create_calendar_event': ['Team Campaign', '2023-03-06 10:00:00', '2023-03-06 11:00:00', 'the office', ['$1', '$2', '$3'], '', None], 'open_note': ['Campaign Calendar', 'Work'], 'open_and_get_file_path': ['ProjectPresentation.pdf'], 'summarize_pdf': ['$6'], 'maps_show_directions': ['Home', 'the office', 'd'], 'join': []}"
"Reply to the email from Sarah thanking her for the information shared, and include Jane in the cc while asking for her phone number to synchronize schedules.","{'get_email_address': ['Jane'], 'reply_to_email': [['$1'], 'Thank you, Sarah, for the information shared. Jane, could you please provide your phone number so we can synchronize our schedules?', []], 'join': []}"
"Compose an email to Mark with the subject \""Coffee Wedding\"" and attach the file \""List.docx\"". Additionally, include the location for the coffee campaign in the email.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['List.docx'], 'maps_open_location': ['coffee campaign'], 'compose_new_email': [['$1'], [], 'Coffee Wedding', '$3', ['$2']], 'join': []}"
"Open directions to the \""Masa\"" in Apple Maps, open the project presentation file, and create a course for tomorrow at 2:00 PM with John, Sarah, and Mark at the office.","{'maps_show_directions': ['', 'Masa', 'd'], 'open_and_get_file_path': ['project presentation'], 'get_email_address': ['Mark'], 'create_calendar_event': ['Course', '2025-07-11 14:00:00', '2025-07-11 15:00:00', 'Office', ['$3', '$4', '$5'], '', None], 'join': []}"
"Please reply to the email with a summary of the \""Financial Report.pdf\"" attached. Include Jane.Smith@gmail.com in the cc.","{'open_and_get_file_path': ['Financial Report.pdf'], 'summarize_pdf': ['$1'], 'reply_to_email': [['Jane.Smith@gmail.com'], '$2', []], 'join': []}"
Compose an email to 'Jane.Doe@nvidia.com' with the subject 'Debate Tomorrow Discussion' and attach the file 'ProjectUpdates.pdf'. Include the Zoom link in the email content for the workshop.,"{'open_and_get_file_path': ['ProjectUpdates.pdf'], 'get_zoom_meeting_link': ['Debate Tomorrow Discussion', '2023-07-22 09:00:00', 60, ['Jane.Doe@nvidia.com']], 'compose_new_email': [['Jane.Doe@nvidia.com'], [], 'Debate Tomorrow Discussion', '$2', ['$1']], 'join': []}"
"Forward the email from Mark with the attachments \""ConferenceNotes.pdf\"" to Emma, John, and Sarah for their review.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ConferenceNotes.pdf'], 'forward_email': [['$1', '$2', '$3'], [], '', ['$4']], 'join': []}"
"Compose an email to Kate regarding the weekend trip, CCing Mike, with the subject \""Weekend Getaway Planning,\"" and include the Map location of the selected vacation spot in the email.","{'get_email_address': ['Mike'], 'maps_open_location': ['selected vacation spot'], 'compose_new_email': [['$1'], ['$2'], 'Weekend Getaway Planning', ""Hi Kate,\n\nI'm excited about our upcoming weekend trip! Here's the location we'll be heading to: $3"", []], 'join': []}"
"Compose a new email inviting Chris, Sarah, and Emma to the virtual book club rally next week. Include the Zoom link in the email context. Then forward the book club discussion notes as \""BookClubNotes.docx\"" to the attendees.","{'get_email_address': ['Emma'], 'get_zoom_meeting_link': ['Virtual Book Club Rally', '2025-12-24 20:00:00', 60, ['$1', '$2', '$3']], 'open_and_get_file_path': ['BookClubNotes.docx'], 'compose_new_email': [['$1', '$2', '$3'], [], 'Invitation to Virtual Book Club Rally', '$4', []], 'forward_email': [['$1', '$2', '$3'], [], '', ['$5']], 'join': []}"
"Reply to the email from James, thanking him for the information. Attach the latest report PDF and create a reminder to review it by next week. Lastly, get directions from your current location to \""Union Square Park\"" using public transit.","{'get_email_address': ['James'], 'open_and_get_file_path': ['latest report'], 'reply_to_email': [['$1'], 'Thank you for the information.', ['$2']], 'create_reminder': ['Review latest report', '2026-11-20 00:00:00', 'Review the report sent by James.', None, 0, True], 'maps_show_directions': ['', 'Union Square Park', 'r'], 'join': []}"
"Create a calendar event named \""Team Building Workshop\"" for next Friday at 10:00 AM at \""Bryant Park\"" and invite John and Sarah. Also, send an SMS reminder about the event to both participants.","{'get_email_address': ['Sarah'], 'get_phone_number': ['Sarah'], 'create_calendar_event': ['Team Building Workshop', '2023-01-24 10:00:00', '2023-01-24 11:00:00', 'Bryant Park', ['$1', '$2'], '', None], 'send_sms': [['$3', '$4'], 'Reminder: You are invited to the Team Building Workshop at Bryant Park on next Friday at 10:00 AM. Looking forward to your participation!'], 'join': []}"
Send confirmation messages to John and Kate about the lunch reservation at Bella Italia tomorrow.,"{'get_phone_number': ['Kate'], 'send_sms': [['$2'], 'Hi Kate, confirming your lunch reservation at Bella Italia for tomorrow. Looking forward to it!'], 'join': []}"
"Please show me walking directions from your current location to \""The New School\"" on Apple Maps and forward the email to John with the summary attached.","{'get_email_address': ['John'], 'maps_show_directions': ['', 'The New School', 'w'], 'forward_email': [['$1'], [], '$2', []], 'join': []}"
"Create a reminder to \""Prepare for Presentation\"" by next Monday with notes on the key points to cover.","{'create_reminder': ['Prepare for Presentation', '2027-04-12 23:59:59', 'Key points to cover for the presentation.', '', 0, True], 'join': []}"
"Schedule a study group session titled \""Exam Prep\"" on Saturday at 2:00 PM to 4:00 PM at the library, inviting Alice, John, and Sarah.","{'get_email_address': ['Sarah'], 'create_calendar_event': ['Exam Prep', '2023-02-12 14:00:00', '2023-02-12 16:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Forward the email to John and Sarah with the attachment \""ShowNotes.docx.”","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ShowNotes.docx'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'join': []}"
"Find the email address of \""Alice\"" and send her an invitation for the virtual book club get-together on Friday at 7:00 PM.","{'get_email_address': ['Alice'], 'compose_new_email': [['$1'], [], 'Virtual Book Club Get-Together Invitation', ""Hi Alice,\n\nYou are cordially invited to our virtual book club get-together happening on Friday at 7:00 PM. We look forward to an engaging discussion and sharing our thoughts on this month's read. Hope to see you there!"", []], 'join': []}"
Find and send Dave's phone number to initiate a video call using FaceTime.,"{'get_phone_number': ['Dave'], 'send_sms': [['$1'], 'Hi Dave, please call me via FaceTime using this number.'], 'join': []}"
"Open the note titled \""Project Ideas\"" in the \""Work\"" folder, then summarize the PDF file \""ResearchPaper.pdf\"" and view the location of \""Lincoln Center\"" in Apple Maps.","{'open_note': ['Project Ideas', 'Work'], 'open_and_get_file_path': ['ResearchPaper.pdf'], 'maps_open_location': ['Lincoln Center'], 'summarize_pdf': ['$2'], 'join': []}"
"Compose a new email to Alice and John with the subject \""Town hall Program\"" and attach the file \""Program.docx\"".","{'get_email_address': ['John'], 'open_and_get_file_path': ['Program.docx'], 'compose_new_email': [['$1', '$2'], [], 'Town hall Program', 'Please find the attached file for the details of the Town hall program.', ['$3']], 'join': []}"
Send a reminder via SMS to John and Amy about the upcoming study group session tomorrow at 3:00 PM.,"{'get_phone_number': ['Amy'], 'send_sms': [['$1', '$2'], 'Hi! Just a reminder about our study group session scheduled for tomorrow at 3:00 PM. See you there!'], 'join': []}"
"Send a reminder to pick up a gift for Dad by next Tuesday,  prioritize it, and then show walking directions from your current location to the gift shop.","{'create_reminder': ['Pick up gift for Dad', '2024-04-10 23:59:59', '', '', 1, True], 'maps_show_directions': ['', 'gift shop', 'w'], 'join': []}"
"Open the note titled \""Debate List\"" in the \""Work\"" folder and then create a reminder for the team class tomorrow at 10:00 AM with high priority.","{'open_note': ['Debate List', 'Work'], 'create_reminder': ['Team Class', '2024-04-23 10:00:00', '', '', 1, False], 'join': []}"
"Open Apple Maps to locate the nearest Italian restaurant near \""Soho\"".","{'maps_open_location': ['Italian restaurant near Soho'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift for Dad\"" for next Saturday at 3:00 PM and set it with high priority.","{'create_reminder': ['Buy Birthday Gift for Dad', '2024-03-17 15:00:00', '', '', 1, False], 'join': []}"
"Forward the email with the attachment \""WeddingNotes.docx\"" to John.Doe@gmail.com and Jane.Smith@yahoo.com, and CC your colleague, Sarah.Green@hotmail.com.","{'open_and_get_file_path': ['WeddingNotes.docx'], 'forward_email': [['John.Doe@gmail.com', 'Jane.Smith@yahoo.com'], ['Sarah.Green@hotmail.com'], '', ['$1']], 'join': []}"
"Forward the email titled \""Team Tournament Program\"" to John, Sarah, and Mark, and create a calendar event for tomorrow's performance from 2:00 PM to 4:00 PM at the office.","{'get_email_address': ['Mark'], 'forward_email': [['$1', '$2', '$3'], [], 'Team Tournament Program', []], 'create_calendar_event': ['Performance', '2027-06-06 14:00:00', '2027-06-06 16:00:00', 'the office', ['$1', '$2', '$3'], '', None], 'join': []}"
"Send a note titled \""Celebration Details\"" with the address to Canberk, Alice, and Jake via SMS. Then create a note with the course outline and location details.","{'create_note': ['Course Outline', 'Course Outline: [Outline details will be here]\nLocation Details: [Location details will be here]', ''], 'get_phone_number': ['Jake'], 'send_sms': [['$2', '$3', '$4'], 'Hi, please find the celebration details: Address: [Details of the location will be here]'], 'join': []}"
"Create a reminder to prepare for the exam on Monday, append additional study notes to the \""Biology Study\"" note, and create a new note called \""Chemistry Study\"" with key formulas in the \""Science\"" folder.","{'create_reminder': ['Prepare for exam', '2024-04-22 00:00:00', 'Prepare for the exam on Monday.', '', 0, True], 'append_note_content': ['Biology Study', 'Additional study notes to be added here.', ''], 'create_note': ['Chemistry Study', 'Key formulas for the Chemistry exam.', 'Science'], 'join': []}"
"Schedule a campaign titled \""Team Brainstorming Session\"" at the office next Wednesday from 2:00 PM to 4:00 PM with invitees Sarah, John, and Emma.","{'get_email_address': ['Emma'], 'create_calendar_event': ['Team Brainstorming Session', '2027-06-08 14:00:00', '2027-06-08 16:00:00', 'the office', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please open the note named \""Shopping List\"" in the \""Personal\"" folder, append the items you need for the party, and then forward the list to Mom and Dad for reference. Additionally, open the location for the party venue on Apple Maps.","{'open_note': ['Shopping List', 'Personal'], 'append_note_content': ['Shopping List', 'Items needed for the party: ', 'Personal'], 'get_email_address': ['Dad'], 'maps_open_location': ['party venue'], 'forward_email': [['$3', '$4'], [], 'Here is the shopping list for the party.', []], 'join': []}"
"Please summarize the content of the file named \""ResearchPaper.pdf\"" after opening it using the file path provided.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open the note titled \""Shopping List\"" in the \""Personal\"" folder, then send an SMS to Mom and Dad to remind them about the grocery shopping, and proceed to open directions to the grocery store in Apple Maps.","{'open_note': ['Shopping List', 'Personal'], 'get_phone_number': ['Dad'], 'send_sms': [['$2', '$3'], 'Hi Mom and Dad, just reminding you about the grocery shopping.'], 'maps_show_directions': ['', 'grocery store', 'd'], 'join': []}"
"Forward the email with the latest updates to Mary and John. Then, open and get the file path for the document \""Project Proposal.pdf\"" for further review.","{'get_email_address': ['John'], 'open_and_get_file_path': ['Project Proposal.pdf'], 'forward_email': [['$1', '$2'], [], 'Here are the latest updates.', []], 'join': []}"
"Create a reminder for \""Buy Birthday Gift\"" due next Monday, set as high priority. Also, show directions from \""Home\"" to \""Gift Shop\"" using public transit.","{'create_reminder': ['Buy Birthday Gift', '2024-04-01 00:00:00', '', '', 1, True], 'maps_show_directions': ['Home', 'Gift Shop', 'r'], 'join': []}"
"Forward the email to Mark and Emily with the project proposal attached. Then, summarize the \""ResearchPaper.pdf\"" and append the key findings to the note \""Research Notes\"".","{'get_email_address': ['Emily'], 'open_and_get_file_path': ['ResearchPaper.pdf'], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'summarize_pdf': ['$5'], 'append_note_content': ['Research Notes', '$6', ''], 'join': []}"
"Open the \""Assignment.pdf\"" file and create a note titled \""Research Notes\"" in the \""Academic\"" folder with your findings on the topic.","{'open_and_get_file_path': ['Assignment.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Research Notes', '$2', 'Academic'], 'join': []}"
"Send an SMS to Jane and Sam about the protest time change; then, append the protest timetable to the \""Team Debate\"" note in the \""Debates\"" folder.","{'get_phone_number': ['Sam'], 'send_sms': [['$1', '$2'], 'Please note that the protest time has changed. Check the updated schedule for details.'], 'open_and_get_file_path': ['protest_timetable'], 'append_note_content': ['Team Debate', '$4', 'Debates'], 'join': []}"
"Reply to John's email with directions to the new restaurant via Apple Maps and a message saying, \""Looking forward to trying out the food!\""","{'maps_show_directions': ['', 'the new restaurant', 'd'], 'reply_to_email': [[], 'Looking forward to trying out the food!\n\nDirections: $1', []], 'join': []}"
"Schedule a study group session titled \""Biology Review\"" for next Saturday at 3:00 PM until 5:00 PM at the campus library. Invite classmates Emma, Alex, and Sophia.","{'get_email_address': ['Sophia'], 'create_calendar_event': ['Biology Review', '2028-09-16 15:00:00', '2028-09-16 17:00:00', 'campus library', ['$1', '$2', '$3'], '', None], 'join': []}"
"After opening the PDF file \""Annual_Report.pdf,\"" summarize its content for the upcoming board debate.","{'open_and_get_file_path': ['Annual_Report.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Create a calendar event for the study group performance titled \""Chemistry Review\"" next Saturday from 3:00 PM to 5:00 PM at the library and invite Mia and Alex. Also, open directions to the library on Apple Maps.","{'get_email_address': ['Alex'], 'create_calendar_event': ['Chemistry Review', '2023-12-16 15:00:00', '2023-12-16 17:00:00', 'the library', ['$1', '$2'], '', None], 'maps_show_directions': ['', 'the library', 'd'], 'join': []}"
"Open Apple Maps and append additional notes to the festival details note, then set a reminder for the team lunch at the new restaurant tomorrow, and summarize the \""Monthly Report.pdf\"" file.","{'maps_open_location': ['Apple Maps'], 'append_note_content': ['festival details', 'Additional notes: ', ''], 'create_reminder': ['Team Lunch at New Restaurant', '2023-08-26 00:00:00', 'Reminder for the team lunch at the new restaurant tomorrow.', '', 0, True], 'open_and_get_file_path': ['Monthly Report.pdf'], 'summarize_pdf': ['$4'], 'join': []}"
"Compose an email to Mark and Sarah with the subject \""Exhibition Tomorrow\"" and attach the file \""ExhibitionCalendar.pdf\"". In the email's content, provide the summarized version of the attachment. If you want to include a specific location or Zoom link in the email, please add it to the context parameter.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['ExhibitionCalendar.pdf'], 'summarize_pdf': ['$3'], 'compose_new_email': [['$1', '$2'], [], 'Exhibition Tomorrow', '$4', ['$3']], 'join': []}"
"Compose a new email to John.Doe@email.com with the subject \""Campaign Schedule\"" and attach the file \""Schedule.docx.\"" In the email, please include the location of the new office in the context for John's reference.","{'open_and_get_file_path': ['Schedule.docx'], 'maps_open_location': ['new office'], 'compose_new_email': [['John.Doe@email.com'], [], 'Campaign Schedule', '$2', ['$1']], 'join': []}"
"Append the festival notes from \""ShowMinutes.docx\"" to the note \""Project Discussion\"" in the \""Work\"" folder and reply to the email with additional insights, including the updated minutes attached.","{'open_and_get_file_path': ['ShowMinutes.docx'], 'open_note': ['Project Discussion', 'Work'], 'append_note_content': ['Project Discussion', '$2', 'Work'], 'reply_to_email': [[], 'Please find the additional insights and the updated minutes attached.', ['$1']], 'join': []}"
"Create a note titled \""Gathering Program\"" with the itinerary items for the weekly team competition. Afterwards, compose an email to John and Sarah regarding the competition with the subject \""Team Gathering Program\"" and attach the notes.","{'create_note': ['Gathering Program', 'Itinerary items for the weekly team competition will be added here.', ''], 'get_email_address': ['Sarah'], 'open_and_get_file_path': ['Gathering Program'], 'compose_new_email': [['$2', '$3'], [], 'Team Gathering Program', 'Please find the attached notes for the upcoming weekly team competition.', ['$4']], 'join': []}"
"Create a note titled \""Lecture Plan\"" with the program points listed and open the note. Then, show walking directions from your current location to the library for your study session.","{'create_note': ['Lecture Plan', 'Program points listed', ''], 'open_note': ['Lecture Plan', ''], 'maps_show_directions': ['', 'library', 'w'], 'join': []}"
"Summarize the \""Research Paper.pdf\"" file and then open the note titled \""Conference Notes\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['Research Paper.pdf'], 'summarize_pdf': ['$1'], 'open_note': ['Conference Notes', 'Work'], 'join': []}"
"Send an SMS to Mom, Dad, and Grandma wishing them a Happy Thanksgiving with a reminder to pick up the turkey from the store tomorrow at 3:00 PM.","{'get_phone_number': ['Grandma'], 'send_sms': [['$1', '$2', '$3'], 'Happy Thanksgiving! Just a reminder to pick up the turkey from the store tomorrow at 3:00 PM.'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift\"" for next Friday with notes about gift ideas, then create a note titled \""Gift Ideas\"" in the \""Shopping\"" folder with various gift suggestions. After that, send an SMS to Mom and Dad with the summarized list of gift suggestions from the \""Gift Ideas.pdf\"" document.","{'create_reminder': ['Buy Birthday Gift', '2024-02-23 00:00:00', 'Consider buying a book, watch, or gadget.', '', 0, True], 'create_note': ['Gift Ideas', 'Gift Suggestions:- Book - Watch - Gadget', 'Shopping'], 'get_phone_number': ['Dad'], 'open_and_get_file_path': ['Gift Ideas.pdf'], 'summarize_pdf': ['$5'], 'send_sms': [['$3', '$4'], 'Hi Mom and Dad, here are some gift suggestions: $6'], 'join': []}"
"Summarize the contents of the document \""ResearchPaper.pdf\"", create a note with the summary, and save it in the \""Research\"" folder.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Research Summary', '$2', 'Research'], 'join': []}"
"Create a reminder to \""Buy Groceries\"" for next Monday, then open the shopping list document \""ShoppingList.docx\"" to check what you need to buy. After that, create a note titled \""Recipe Ideas\"" in the \""Cooking\"" folder to jot down some recipe inspirations. Finally, open the location \""Apple Store\"" in Apple Maps to plan your visit.","{'create_reminder': ['Buy Groceries', '2024-02-19 00:00:00', '', '', 0, True], 'open_and_get_file_path': ['ShoppingList.docx'], 'create_note': ['Recipe Ideas', '', 'Cooking'], 'maps_open_location': ['Apple Store'], 'join': []}"
"Schedule a study group concert titled \""Biology Revision\"" for next Wednesday at 3:00 PM with Jessie, Ben, and Maria in the library.","{'get_email_address': ['Maria'], 'create_calendar_event': ['Biology Revision', '2023-04-05 15:00:00', '2023-04-05 16:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Create a reminder to call Sarah tomorrow at 2:00 PM with high priority. Then, open the note labeled \""Town hall Schedule\"" in the \""Work\"" folder.","{'create_reminder': ['Call Sarah', '2027-12-16 14:00:00', '', '', 1, False], 'open_note': ['Town hall Schedule', 'Work'], 'join': []}"
"Create a note titled \""Music Event Planning\"" in the \""Events\"" folder and add the details. Then get the directions from your current location to the \""Concert Hall\"" for walking.","{'create_note': ['Music Event Planning', 'Details will be added here.', 'Events'], 'maps_show_directions': ['', 'Concert Hall', 'w'], 'join': []}"
"Create a note titled \""Study Plan\"" with details on preparing for the upcoming exams in the \""Education\"" folder.","{'create_note': ['Study Plan', 'Details on preparing for the upcoming exams will be added here.', 'Education'], 'join': []}"
"Open the document \""Debate_Minutes.docx\"" for review, reply to the email with additional notes attached, and open the note titled \""Action Items\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['Debate_Minutes.docx'], 'open_note': ['Action Items', 'Work'], 'reply_to_email': [[], 'Please find the attached additional notes.', ['$1']], 'join': []}"
"Compose an email to Alice and Bob with the subject \""Team Conference Tomorrow\"" and include the Zoom link in the context. Summarize the document \""ProjectUpdate.pdf\"" and attach the summary to the email. Finally, create a calendar event for the team performance tomorrow at 10:00 AM.","{'get_email_address': ['Bob'], 'open_and_get_file_path': ['ProjectUpdate.pdf'], 'get_zoom_meeting_link': ['Team Conference', '2027-05-22 10:00:00', 60, ['$1', '$2']], 'summarize_pdf': ['$3'], 'compose_new_email': [['$1', '$2'], [], 'Team Conference Tomorrow', '$4', ['$5']], 'create_calendar_event': ['Team Performance', '2027-05-22 10:00:00', '2027-05-22 11:00:00', '', ['$1', '$2'], '', None], 'join': []}"
"Create a new note titled \""Town hall Outline\"" with the outline items for tomorrow's team debate in the \""Work\"" folder and set a reminder to review the outline at 9:00 AM tomorrow with high priority.","{'create_note': ['Town hall Outline', ""Outline items for tomorrow's team debate will be added here."", 'Work'], 'create_reminder': ['Review Town Hall Outline', '2027-05-07 09:00:00', 'Review the outline for the team debate.', '', 1, False], 'join': []}"
"Add the game calendar to the note titled \""Team Protest\"" in the \""Work\"" folder for tomorrow's discussion.","{'open_note': ['Team Protest', 'Work'], 'create_calendar_event': ['Team Protest Discussion', '2023-11-13 00:00:00', '2023-11-13 23:59:59', '', [], '', 'game calendar'], 'join': []}"
