input,tool_outputs
"Open Apple Maps and show directions to \""Lenox Hill\"" from the current location.","{'maps_show_directions': ['', 'Lenox Hill', 'd'], 'join': []}"
"Summarize the contents of the document \""ResearchPaper.pdf,\"" then create a reminder to review the notes by next Monday, and open the note \""Project Ideas\"" in the \""Ideas\"" folder. Finally, find directions to the \""Central Library\"" using Apple Maps.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'create_reminder': ['Review Project Notes', '2024-12-06 09:00:00', '', '', 0, True], 'open_note': ['Project Ideas', 'Ideas'], 'maps_show_directions': ['Central Library', '', 'd'], 'join': []}"
Send a message to Jane and Alex with the class details and directions to the cafe for tomorrow at 3:00 PM by walking.,{}
"Add the study notes from the \""Chapter 5 Review\"" document to the \""Physics\"" note in the \""School\"" folder.","{'open_and_get_file_path': ['Chapter 5 Review'], 'summarize_pdf': ['$1'], 'append_note_content': ['Physics', '$2', 'School'], 'join': []}"
"Compose a new email to John with the subject \""Show Tomorrow\"" and attach the outline file.","{'get_email_address': ['John'], 'open_and_get_file_path': ['outline'], 'compose_new_email': [['$1'], [], 'Show Tomorrow', '', ['$2']], 'join': []}"
"Forward the email to John and Jane with the updated project schedule attached, then create a calendar event titled \""Project Lesson\"" for next Monday with John, Jane, and Sarah invited.",{}
"Send a reminder to John and Jane via SMS about the team lunch tomorrow at 1:00 PM at \""The Bistro.\"" Afterwards, create a calendar event titled \""Team Lunch\"" for tomorrow and invite John.Doe@gmail.com and Jane.Smith@gmail.com with the event details.",{}
Open Apple Maps and locate the nearest library.,Error: 1
"Open the file \""ExhibitionNotes.docx\"" and append the protest summary to the note named \""Weekly Exhibition\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['ExhibitionNotes.docx'], 'summarize_pdf': ['$1'], 'append_note_content': ['Weekly Exhibition', '$2', 'Work'], 'join': []}"
"Send a reply to the email with the updated report attached and then append the party notes to the existing note \""Project Exhibition\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['updated report'], 'reply_to_email': [[], 'Please find the attached updated report.', ['$1']], 'append_note_content': ['Project Exhibition', 'Party notes appended.', 'Work'], 'join': []}"
"Compose a new email to John and Emma with the subject \""Competition Plan\"" and attach the document \""Plan.docx\"".","{'get_email_address': ['Emma'], 'open_and_get_file_path': ['Plan.docx'], 'compose_new_email': [['$1', '$2'], [], 'Competition Plan', '', ['$3']], 'join': []}"
"Open the file \""ShoppingList.txt\"" and create a note titled \""Gift Ideas\"" with ideas for Dad's birthday in the \""Personal\"" folder.","{'open_and_get_file_path': ['ShoppingList.txt'], 'create_note': ['Gift Ideas', ""Ideas for Dad's birthday:"", 'Personal'], 'join': []}"
"Open the note titled \""Town hall Notes\"" in the \""Work\"" folder and then send an SMS with the class summary to John and Kate.",{}
"Open the note titled \""Study Plan\"" in the \""Education\"" folder and the file \""Assignment.docx\"" for review.",{}
"Create a reminder to \""Buy Groceries\"" due next Friday at 5:00 PM with high priority, forward the latest email to Mom and Dad, append the email content to the note \""Shopping List,\"" and compose a new email to John with the subject \""Meal Plan\"" and attach the file \""Recipes.docx\"".",{}
"Forward the latest email to John and Sarah with the attachments \""Concert Itinerary.docx\"" and \""Presentation.pdf.\""","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['Presentation.pdf'], 'forward_email': [['$1', '$2'], [], '', ['$3', '$4']], 'join': []}"
"Open directions to \""Lenox Hill\"" in Apple Maps, reply to the email thread with the lesson notes attached, and then create a new note with the lesson action items for follow-up in the \""Game Notes\"" folder.",{}
"Add,\""Pick up groceries,\"" to the shopping list note and include \""Milk, Eggs, Bread,\"" in the \""Groceries\"" folder.",{}
Set a reminder to call Mom tomorrow and catch up on upcoming family events.,"{'create_reminder': ['Call Mom', '2024-04-05 09:00:00', '', '', 0, True], 'join': []}"
"Summarize the report titled \""Marketing_Strategy.pdf.\""","{'open_and_get_file_path': ['Marketing_Strategy.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open the note titled \""Math Homework\"" in the \""School\"" folder.","{'open_note': ['Math Homework', 'School'], 'join': []}"
"Please summarize the key points from the \""Research_Paper.pdf\"" document.","{'open_and_get_file_path': ['Research_Paper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Please create a calendar event titled \""Team Lunch\"" for next Friday from 1:00 PM to 2:00 PM at \""The Bistro\"" and invite John, Sarah, and Lisa. Also, show directions from your current location to \""The Bistro\"" for driving.",{}
"Add the key points from the \""Design Conference\"" to the existing note named \""Design Ideas\"" in the \""Creativity\"" folder.","{'open_note': ['Design Conference', ''], 'append_note_content': ['Design Ideas', '$1', 'Creativity'], 'join': []}"
Forward the current email to John.Smith@gmail.com and Jane.Doe@gmail.com with a note asking for feedback about the project plan.,{}
"Open the note titled \""Plan\"" in the \""Personal\"" folder and then send an SMS to invite John and Mary to meet at the \""Café Aroma\"" for lunch.",{}
Reply to John's email about the project updates and send a new email to Alice with the Zoom link for tomorrow's game.,{}
"Summarize the \""ResearchPaper.pdf\"" file and review the notes in the \""Get-togetherNotes\"" folder.",{}
"Create a note titled \""Recipe Ideas\"" with the content \""Lasagna, Tacos, Stir-fry\"" in the \""Kitchen\"" folder.",{}
"Send SMS to Emma and John with a message \""Check your email for the class invite\"". Then, get the email address for \""Alice\"" and create a calendar event titled \""Team Debate\"" for next Monday at 10:00 AM, inviting Alice, John, and Sarah. Finally, show driving directions from \""Home\"" to \""Work\"" in Apple Maps.",{}
"Reply to the email from \""john@mit.edu\"" with a summary from the \""QuarterlyReport.pdf\"" attached.","{'open_and_get_file_path': ['QuarterlyReport.pdf'], 'summarize_pdf': ['$1'], 'reply_to_email': [[], '$2', []], 'join': []}"
"Open the note titled \""Seminar Minutes\"" in the \""Work\"" folder and forward the latest email to John and Sarah with the updated proposal attached.",{}
"Create a note titled \""Grocery List\"" with the items to buy, then check walking directions from \""Home\"" to \""Grocery Store\"" using Apple Maps.","{'create_note': ['Grocery List', 'Items to buy will be added here.', ''], 'maps_show_directions': ['Home', 'Grocery Store', 'w'], 'join': []}"
Open Apple Maps and search for directions to the nearest Italian restaurant for dinner tonight.,{}
"Summarize the \""Math Assignment.pdf\"" file and compose an email to Alice and Bob with the homework task attached. Include the map location of the library in the email context.","{'get_email_address': ['Bob'], 'open_and_get_file_path': ['Math Assignment.pdf'], 'summarize_pdf': ['$3'], 'maps_open_location': ['library'], 'compose_new_email': [['$1', '$2'], [], 'Homework Task Summary', 'Please find the attached Math Assignment and note that the library location is as follows: $5', ['$4']], 'join': []}"
"Forward the email with an update on the project to Alice, Bob, and Cindy as recipients, and include Jack in cc. Also, attach the \""ProjectUpdate.pdf\"" document for reference.","{'get_email_address': ['Jack'], 'open_and_get_file_path': ['ProjectUpdate.pdf'], 'forward_email': [['$1', '$2', '$3'], ['$4'], 'Please find the attached document for reference on the project update.', ['$5']], 'join': []}"
"Schedule a study group session titled \""Biology Revision\"" for next Monday from 3:00 PM to 5:00 PM at the library with invitees Emma, Jack, and Sophie.","{'get_email_address': ['Sophie'], 'create_calendar_event': ['Biology Revision', '2024-12-05 15:00:00', '2024-12-05 17:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Create a reminder to \""Call Mom\"" at 3:00 PM tomorrow, then show walking directions from \""Home\"" to \""Mom's House\"".",Error: 3
"Please summarize the \""Marketing Report.pdf\"" and then schedule a team celebration titled \""Marketing Strategy Discussion\"" for next Monday at 2:00 PM. Invite Sarah, John, and Emily to attend the celebration.",{}
"Open the note titled \""Weekly Study Plan\"" in the \""Education\"" folder.","{'open_note': ['Weekly Study Plan', 'Education'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift for Mom\"" due next Saturday, add a note about gift ideas for Mom to the \""Gift List\"" folder, and then send an SMS to Mom about the reminder.",{}
"Send a reminder via SMS to Mom, Dad, and Grandma about the family picnic tomorrow, then create a note titled \""Picnic Planning\"" in the \""Family Events\"" folder with the checklist for the picnic. Open the note to review the details and summarize the \""Picnic_Recipes.pdf\"" for more inspiration.",{}
"Compose a new email to John and Sarah with the subject \""Project Updates\"" and attach the summarized content of the \""QuarterlyReport.pdf\"".","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['QuarterlyReport.pdf'], 'summarize_pdf': ['$3'], 'compose_new_email': [['$1', '$2'], [], 'Project Updates', '', ['$4']], 'join': []}"
"Open the file named \""PresentationSlides.pptx\"" to prepare for the performance tomorrow.","{'open_and_get_file_path': ['PresentationSlides.pptx'], 'join': []}"
"Send a message to Mom and Dad: \""Leaving the office now, will be home in 30 minutes.\""",Error: 1
"Send a quick message to Mom and Dad reminding them of tomorrow's family dinner and then add the dinner menu to the existing note \""Family Gathering\"" in the \""Events\"" folder.",{}
"Open the location,\""Grand Central\"", in Apple Maps and create a calendar event titled,\""Picnic in the Park\"", for next Saturday from 12:00 PM to 3:00 PM at Grand Central with invitees Emily and Alex.",{}
"Summarize the \""Research Paper.pdf\"" and create a class event titled \""Team Brainstorming Session\"" for next Friday from 2:00 PM to 4:00 PM in the conference room with invitees Alice, Bob, and Emily.",{}
"Create a calendar event for the team exhibition next Monday from 10:00 AM to 11:00 AM at the office, inviting John, Sarah, and Tom. Then, open the note titled \""Project Ideas\"" in the \""Ideas\"" folder.",{}
"Compose a new email to Mary with the subject \""Campaign Tomorrow\"" and attach the list file. In the email, include the location of \""Starbucks, 123 Main Street\"" and a Zoom link for the exhibition tomorrow at 10:00 AM.","{'get_email_address': ['Mary'], 'open_and_get_file_path': ['list file'], 'maps_open_location': ['Starbucks, 123 Main Street'], 'get_zoom_meeting_link': ['Campaign Tomorrow', '2024-12-01 10:00:00', 60, ['$1']], 'compose_new_email': [['$1'], [], 'Campaign Tomorrow', '$3\n\nZoom Link for the exhibition tomorrow at 10:00 AM:\n$4', ['$2']], 'join': []}"
"Get directions from your current location to the nearest park for a walk, set a reminder to take a break for a walk today in the afternoon, and then summarize the article titled \""HealthBenefits.pdf\"".",{}
"Forward the email containing the presentation details to Jane and Mike, add an update note to the \""Exhibition Notes\"" in the \""Work\"" folder, and show walking directions from \""Home\"" to \""Coffee Shop\"" in Apple Maps.",{}
Open Apple Maps to get directions to NYU in New York.,"{'maps_show_directions': ['', 'NYU, New York', 'd'], 'join': []}"
"Send a reminder to submit the project proposal by next Friday with high priority and then forward an important email about the team town hall to John.Doe@amazon.com, Jane.Smith@amazon.com, and Emily.Ross@amazon.com. Include the project updates document as an attachment.",{}
"Append the workshop notes to the existing note \""Team Discussion\"" in the \""Work\"" folder and show walking directions from \""NYU\"" to \""Empire State Building\"" in Apple Maps.","{'append_note_content': ['Team Discussion', 'workshop notes', ''], 'maps_show_directions': ['NYU', 'Empire State Building', 'w'], 'join': []}"
Show walking directions from your current location to the nearest grocery store.,"{'maps_show_directions': ['', 'nearest grocery store', 'w'], 'join': []}"
"Open the note titled \""Study Tips\"" in the \""Education\"" folder and review its contents.",{}
Forward the email from David to Joseph with the project details attached and compose a new email to Sarah and Emma with the tournament timetable for next week. Include the location map for the tournament in the email.,{}
"Summarize the \""AnnualReport.pdf\"" and display directions from your current location to \""Le Bernardin\"" by walking.","{'open_and_get_file_path': ['AnnualReport.pdf'], 'maps_show_directions': ['', 'Le Bernardin', 'w'], 'summarize_pdf': ['$1'], 'join': []}"
"Create a reminder to \""Buy Birthday Gift\"" due next Monday with high priority, then open the note for gift ideas, and forward the latest gift suggestions email to Emma and Mia while sending an SMS to notify Alex about the gift planning.",{}
"Reply to Karen's email with the tournament details attached and append the tournament summary to the \""Project Town halls\"" note in the \""Business\"" folder.","{'get_email_address': ['Karen'], 'open_and_get_file_path': ['tournament details'], 'reply_to_email': [['$1'], 'Please find the attached tournament details.', ['$2']], 'append_note_content': ['Project Town halls', 'Tournament summary: ', 'Business'], 'join': []}"
"Open the note titled \""Match Schedule\"" in the \""Work\"" folder and then check the location of \""Mount Sinai\"" in Apple Maps.",{}
"Show me walking directions from \""Home\"" to \""Park\"" in Apple Maps.","{'maps_show_directions': ['Home', 'Park', 'w'], 'join': []}"
"Summarize the content of the \""ResearchPaper.pdf\"" file.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Add the new recipe \""Pasta Carbonara\"" to the existing \""Recipes\"" note in the \""Cooking\"" folder.",{}
"Compose a new email to John.Doe@gmail.com with the subject \""Seminar Outline\"" and attach the file \""Outline.docx.\""","{'open_and_get_file_path': ['Outline.docx'], 'compose_new_email': [['John.Doe@gmail.com'], [], 'Seminar Outline', '', ['$1']], 'join': []}"
"Open Apple Maps and navigate to \""LaGuardia, Manhattan\"" to plan the weekend picnic.",{}
"Summarize the content of the \""ResearchPaper.pdf\"" file and then open directions to \""Union Square Park\"" in Apple Maps.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'maps_show_directions': ['', 'Union Square Park', 'd'], 'join': []}"
"Send a friendly text message to John and Sarah saying, \""Hope you have a great day!\""","{'get_phone_number': ['Sarah'], 'send_sms': [['$1', '$2'], 'Hope you have a great day!'], 'join': []}"
"Compose an email to Jane and Mark with the subject \""Match Tomorrow\"" and attach \""MatchSchedule.docx.\"" Include the Zoom link for the protest in the email context. Open the file \""BudgetReport.pdf\"" to review the financial data before sending the email.",{}
"Create a note titled \""Exhibition Calendar\"" with the outline points for the team discussion tomorrow.",{}
"Compose an email to Sarah and Mark discussing the \""Project Progress Report,\"" attach the report summary \""Progress Summary.pdf\"" to the email.",{}
"Reply to the email regarding the team workshop tomorrow with the location, \""Conference Room A\"" and attach the itinerary file \""TeamGatheringSchedule.docx.\""",{}
"Summarize the \""Investment_Strategy.pdf\"" document, and open directions to \""The Plaza Hotel\"" in Apple Maps for a relaxing walk.","{'open_and_get_file_path': ['Investment_Strategy.pdf'], 'maps_show_directions': ['', 'The Plaza Hotel', 'w'], 'summarize_pdf': ['$1'], 'join': []}"
"Send a text to Sarah and Tom with the message \""On my way!\"" and show walking directions from your current location to \""Soho\"".",{}
"Open the file \""PresentationSlides.key\"" and create a reminder to practice the presentation for next Monday at 3:00 PM. Also, send an SMS to Mom and Dad with the message \""Don't forget about the family dinner tonight!\""",{}
"Forward the email to John and Sarah with the comments provided in the email and attach the file \""Project Updates.pdf\"" for further review.",{}
"Open \""New York-Presbyterian\"" in Apple Maps.",{}
"Create a note titled \""Gathering Notes\"" with the discussion points from yesterday's tournament and forward the email with the latest updates to John, Emma, and Sarah with the updated report attached.",{}
"Compose an email to Monica with the subject \""Presentation Details\"" and attach the outline file, \""PresentationProgram.pdf\"". Also, include the map location to the show place in the email context.","{'get_email_address': ['Monica'], 'open_and_get_file_path': ['outline file'], 'maps_open_location': ['show place'], 'compose_new_email': [['$1'], [], 'Presentation Details', '$3', ['$2']], 'join': []}"
"Open the file \""Research_Paper.docx\"".","{'open_and_get_file_path': ['Research_Paper.docx'], 'join': []}"
"Summarize the content of the \""ResearchPaper.pdf\"" file, create a note titled \""Research Summary\"" with the summary, and save it in the \""Research\"" folder.","{'open_and_get_file_path': ['ResearchPaper.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Research Summary', '$2', 'Research'], 'join': []}"
"Open the document \""Project Proposal.docx\"", create a calendar event for the project town hall next week, inviting John@mit.edu and Sarah@mit.edu, and then reply to the latest email with the town hall details attached.",{}
"Open Apple Maps to locate the nearest coffee shop, \""The Daily Grind,\"" for a quick study session.",{}
"Create a reminder named \""Buy Groceries\"" due next Saturday and add a note to remember to call John about the weekend plans. Then, show directions from work to Addison Apartments for today by driving in Apple Maps.",{}
"Reply to the email regarding the \""Team Protest Itinerary\"" with the confirmed schedule attached, then create a calendar event for \""Team Protest\"" next Tuesday from 2:00 PM to 4:00 PM at the office, and set a reminder to review the party notes on the same day at 1:30 PM.",{}
"Reply to the latest email from Mark regarding the team show calendar, cc Sophia, and attach the \""Class_Plan.pdf\"". Additionally, create a calendar event for the team show next Wednesday at 2:00 PM at \""Office Conference Room\"".",{}
"Forward the email to Alex, Emily, and John with the updated project details attached, and send a text message to 555-123-4567 with the exhibition plan.","{'get_email_address': ['John'], 'open_and_get_file_path': ['updated project details'], 'forward_email': [['$1', '$2'], ['$3'], '', ['$4']], 'send_sms': [['$5'], 'Please see the attached updated project details.']}"
"Compose an email to Amy with the subject,\""Game Schedule\"" and attach the file \""Schedule.docx\"". Additionally, include the map location of \""Starbucks on 5th Avenue\"" in the email context.","{'get_email_address': ['Amy'], 'open_and_get_file_path': ['Schedule.docx'], 'maps_open_location': ['Starbucks on 5th Avenue'], 'compose_new_email': [['$1'], [], 'Game Schedule', '$3', ['$2']], 'join': []}"
"Reply to an email with additional details and attach the \""CompetitionMinutes.docx\"" file. Additionally, create a new note titled \""Action Items\"" with the tasks assigned during the concert.","{'open_and_get_file_path': ['CompetitionMinutes.docx'], 'reply_to_email': [[], 'Here are the additional details as discussed.', ['$1']], 'create_note': ['Action Items', 'Tasks assigned during the concert will be added here.', ''], 'join': []}"
"Create a calendar event titled \""Team Get-together\"" for next Wednesday from 9:00 AM to 10:00 AM in the \""Conference Room 1\"" with invitees John@google.com and Sarah@google.com. After that, summarize the content of the PDF file \""AnnualReport.pdf\"".","{'create_calendar_event': ['Team Get-together', '2024-12-05 09:00:00', '2024-12-05 10:00:00', 'Conference Room 1', ['John@google.com', 'Sarah@google.com'], '', None], 'open_and_get_file_path': ['AnnualReport.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
"Create a note titled \""Shopping List\"" with the items needed and save it to the \""Personal\"" folder. Then, create a reminder to buy these items by next Saturday. Also, open \""Grocery Store\"" location in Apple Maps to plan the route.",{}
"Append notes about the upcoming presentation to the existing note \""Presentation Prep,\"" create a reminder to practice the presentation at 3:00 PM tomorrow, create a new note for the get-together program, and finally reply to the latest email with the get-together program attached.",{}
"Append the performance program to the note titled \""Team Exhibition\"" in the \""Lists\"" folder, open directions to \""Washington Square Park\"" in Apple Maps, and send a text message to John and Sarah informing them about the performance.",{}
Compose an email inviting Alice and Bob to a virtual team conference at 3:00 PM tomorrow. Include the Zoom link in the email context and attach the itinerary document.,{}
"Compose an email to Denver High School with the subject \""Parent-Teacher Competition\"", mentioning the location map for the presentation in the email context. Additionally, create a note titled \""Attend PTM at Denver High\"" with essential details. Finally, set a reminder to attend the parent-teacher presentation on Friday at 3:00 PM.",{}
"Please show me the walking directions from my current location to \""The Apollo\"", create a calendar event for a picnic at the park for next Saturday, write a note titled \""Picnic Essentials\"" with a checklist of items to bring, and open the file \""Picnic_Checklist.pdf\"" for reference.","{'maps_show_directions': ['', 'The Apollo', 'w'], 'create_calendar_event': ['Picnic at The Park', '2024-05-06 12:00:00', '2024-05-06 13:00:00', 'The Apollo', [], '', None], 'open_and_get_file_path': ['Picnic_Checklist.pdf'], 'create_note': ['Picnic Essentials', 'Checklist items to bring:\n- Blanket\n- Sunscreen\n- Frisbee\n- Snacks\n- Drinks\n- Map of the park for directions', ''], 'join': []}"
"Append the discussion points for the trip to \""Hawaii\"" to the existing note \""Vacation Plans,\"" then create a calendar event for the vacation workshop next Friday to finalize the itinerary, and finally open the location of \""Hilton Hawaiian Village Waikiki Beach Resort\"" on the Apple Maps application.","{'append_note_content': ['Vacation Plans', 'Discussion points for the trip: ', ''], 'create_calendar_event': ['Trip Vacation Workshop', '2024-04-06 09:00:00', '2024-04-06 17:00:00', '', [], '', None], 'maps_open_location': ['Hawaii'], 'join': []}"
"Show me walking directions from \""Home\"" to \""Washington Square Park\"".","{'maps_show_directions': ['Home', 'Washington Square Park', 'w'], 'join': []}"
"Open the file \""Vacation_Plans.docx\"", create a note titled \""Travel Itinerary\"" with the details of your trip to Hawaii, append the packing list to this note, and show directions from \""Home\"" to \""Airport\"" in walking mode.",{}
"Open directions to \""Golden Gate Bridge\"" in Apple Maps.","{'maps_show_directions': ['', 'Golden Gate Bridge', 'd'], 'join': []}"
"Create a note titled \""Grocery List\"" with the items you need in the \""Shopping\"" folder, then navigate to the nearest pharmacy using walking directions in Apple Maps.","{'create_note': ['Grocery List', 'Items needed will be added here.', 'Shopping'], 'maps_show_directions': ['', 'nearest pharmacy', 'w'], 'join': []}"
"Add a reminder to \""Buy Birthday Gift\"" for next Monday at 3:00 PM with a priority set to high, and append to the note \""Gift Ideas\"" in the \""Shopping\"" folder with a list of possible gifts for Sarah's birthday.",{}
"Send an email to Mark and Lisa with the campaign calendar attached and the Zoom link included in the email context. Update the note \""Project Updates\"" with the latest progress details.",{}
"Please summarize the contents of the report \""Product Launch Strategy.pdf\"".","{'open_and_get_file_path': ['Product Launch Strategy.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Compose a new email to John and Sarah with the subject \""Project Seminar Details\"" and attach \""SeminarList.pdf.\"" Include the Zoom link in the context and send the location of the reunion in the email.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['SeminarList.pdf'], 'maps_open_location': ['reunion'], 'get_zoom_meeting_link': ['Project Seminar', '2024-12-01 09:00:00', 60, ['$1', '$2']], 'compose_new_email': [['$1', '$2'], [], 'Project Seminar Details', 'Please join the Zoom meeting using the following link: $5\n\nLocation of the reunion: $4', ['$3']], 'join': []}"
"Compose a new email with the summary of the attachment \""Financial_Report.pdf\"" to John and Jane, with the subject \""Quarterly Review\"". Include a map location of the office in the email context.",{}
"Create a reminder to \""Buy Birthday Gift\"" for next Friday, set as an all-day task and marked as high priority. After that, compose a new email to John.Doe@nvidia.com with the subject \""Birthday Surprise\"" and attach the \""GiftIdeas.pdf\"" file for suggestions.",{}
"Summarize the document \""Report.pdf,\"" then open the note titled \""Ideas\"" in the \""Creative\"" folder, and get walking directions from \""Home\"" to \""School.\""",{}
"Add the class list for tomorrow to the \""Project Updates\"" note in the \""Work\"" folder.",{}
"Create a reminder to \""Buy groceries for the picnic\"" by this Sunday, then jot down the picnic menu ideas in a note in the \""Picnic Planning\"" folder. Finally, reply to the email from Mark with the finalized picnic details included as an attachment.",{}
"Create a calendar event titled \""Dinner Party\"" for next Sunday at 7:00 PM at \""Rosewood Restaurant\"" and invite Sarah, John, and Emma.","{'get_email_address': ['Emma'], 'create_calendar_event': ['Dinner Party', '2024-12-07 19:00:00', '2024-12-07 21:00:00', 'Rosewood Restaurant', ['$1', '$2', '$3'], '', None], 'join': []}"
"Please summarize the content of the \""ResearchPaper.pdf\"" for my presentation next week.",{}
"Create a reminder for the performance itinerary review by next Monday at 4:00 PM with high priority and then reply to Sarah and Kate's email regarding the performance details with the attached document \""DebateDetails.docx\"". Finally, create a new note titled \""Debate Notes\"" with the discussion points for the upcoming performance.",{}
"Create a note titled \""Grocery List\"" with items to buy, then send a reminder to pick up the groceries tomorrow and an SMS reminder to your spouse about the errand.","{'create_note': ['Grocery List', 'Items to buy will be added here.', ''], 'create_reminder': ['Pick up groceries', '2024-12-01 00:00:00', '', '', 0, True], 'get_phone_number': ['Spouse'], 'send_sms': [['$3'], ""Reminder: Don't forget to pick up the groceries tomorrow.""], 'join': []}"
"Summarize the \""Article.pdf\"" and compose a new email to John Doe with the summary attached, regarding the upcoming team match at \""Conference Room 2\"" next week.",{}
"Summarize the \""Quarterly Report.pdf\"", then append the summary to the \""Finance Tournament Notes\"" in the \""Quarterly Reports\"" folder. Afterwards, create a calendar event titled \""Finance Tournament\"" on Thursday from 2:00 PM to 3:00 PM at the \""Boardroom\"" with John, Sarah, and Emma as invitees.",{}
"Create a reminder to review \""Marketing Strategy\"" by Friday at 3:00 PM. After that, open the \""QuarterlyReport.pdf\"" and provide a summary of the content.","{'create_reminder': [""Review 'Marketing Strategy'"", '2024-04-05 15:00:00', '', '', 0, False], 'open_and_get_file_path': ['QuarterlyReport.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
"Open Apple Maps to get directions to \""Golden Gate Bridge\"".","{'maps_show_directions': ['', 'Golden Gate Bridge', 'd'], 'join': []}"
"Open Apple Maps and locate \""Mount Sinai, New York\"" and then summarize the content of the \""TourismGuide.pdf\"" document.","{'maps_open_location': ['Mount Sinai, New York'], 'open_and_get_file_path': ['TourismGuide.pdf'], 'summarize_pdf': ['$2'], 'join': []}"
Show me walking directions from home to the nearest park.,"{'maps_show_directions': ['home', 'nearest park', 'w'], 'join': []}"
"Summarize the document \""Financial_Results.pdf\"" that you just opened.","{'open_and_get_file_path': ['Financial_Results.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Create a reminder to \""Buy Groceries\"" due tomorrow, reply to the email from Sarah regarding the festival details with notes attached, and create a calendar event for the team festival next week. Once done, open the location of the festival in Apple Maps to plan the route.",{}
"Create a reminder to \""Buy Birthday Gift\"" due next Friday, open the file \""ShoppingList.pdf\"", check the location of \""The Mall\"" on Apple Maps, and schedule a shopping trip at 2:00 PM with Emily and Max as invitees.",{}
"Forward the email containing the gathering details to John and Sarah. Create a calendar event titled \""Team Festival\"" for next Monday from 2:00 PM to 3:30 PM at \""Conference Room\"" and ensure to append these details to the note \""Team Festivals\"" in the \""Work\"" folder.","{'get_email_address': ['Sarah'], 'create_calendar_event': ['Team Festival', '2024-12-05 14:00:00', '2024-12-05 15:30:00', 'Conference Room', ['$1', '$2'], '', None], 'append_note_content': ['Team Festivals', 'Details for the Team Festival event on 2024-12-05 from 14:00 to 15:30 at Conference Room.', 'Work'], 'join': []}"
"Forward the email to Alice, Bob, and Charlie with the file \""ProjectUpdates.pdf\"" attached.",{}
Send a reminder about the study session tomorrow to 555-123-4567 and 555-987-6543.,{}
"Compose a new email to Alex and Mia with the subject \""Presentation Tomorrow\"" and attach the outline for tomorrow's performance. Include the location of the performance using the context parameter to share the performance venue through Apple Maps.",{}
Set a reminder to revise for the exam on Monday at 8:00 PM with high priority.,"{'create_reminder': ['Revise for Exam', '2024-12-03 20:00:00', '', '', 1, False], 'join': []}"
"Create a reminder to buy groceries tomorrow at 10:00 AM. Compose an email to John with the subject \""Match Details\"" and attach the schedule document. Show directions from your current location to the office for walking.",{}
"Send an email to John.Doe@email.com and Jane.Smith@gmail.com with the subject \""Performance Schedule\"" and attach the file \""PerformanceNotes.pdf\"". Add the zoom link for the game in the context of the email. Additionally, open the note titled \""Presentation Ideas\"" in the \""Business\"" folder.","{'get_email_address': ['Jane Smith'], 'open_and_get_file_path': ['PerformanceNotes.pdf'], 'get_zoom_meeting_link': ['Game Presentation', '2024-12-05 09:00:00', 60, ['$1', '$2']], 'open_note': ['Presentation Ideas', 'Business'], 'compose_new_email': [['$1', '$2'], [], 'Performance Schedule', '$4', ['$3']], 'join': []}"
"Create a calendar event titled \""Team Campaign\"" next Monday at 10:00 AM in the office, inviting Emily, John, and Sarah; open the note \""Campaign Calendar\"" in the \""Work\"" folder to gather information, then summarize the \""ProjectPresentation.pdf\"" conclusions and map directions from \""Home\"" to \""Office\"" for driving.",{}
"Reply to the email from Sarah thanking her for the information shared, and include Jane in the cc while asking for her phone number to synchronize schedules.",{}
"Compose an email to Mark with the subject \""Coffee Wedding\"" and attach the file \""List.docx\"". Additionally, include the location for the coffee campaign in the email.","{'get_email_address': ['Mark'], 'open_and_get_file_path': ['List.docx'], 'maps_open_location': ['coffee campaign'], 'compose_new_email': [['$1'], [], 'Coffee Wedding', '$3', ['$2']], 'join': []}"
"Open directions to the \""Masa\"" in Apple Maps, open the project presentation file, and create a course for tomorrow at 2:00 PM with John, Sarah, and Mark at the office.",{}
"Please reply to the email with a summary of the \""Financial Report.pdf\"" attached. Include Jane.Smith@gmail.com in the cc.",{}
Compose an email to 'Jane.Doe@nvidia.com' with the subject 'Debate Tomorrow Discussion' and attach the file 'ProjectUpdates.pdf'. Include the Zoom link in the email content for the workshop.,{}
